businessId,AvgFromReviews,wIDF,wAvg,wRM,wBase
Apee77IOW5uNS7eGJe6Srg,3.4,3.795231,3.774209,3.769955,3.769955
cbFlhBjmvV5XgspysHCQtA,5,3.917126,3.909364,3.940581,3.991639
I98ESrTemwkaVIrN_USx4A,4.222222,3.860694,3.860428,3.867485,3.766723
ZoKxIEQJn4FrRHXtnmMznA,4.75,3.774711,3.806462,3.830243,3.766723
2MM8cFKHp8OaB13fp0ysGw,3.384615,3.651898,3.680307,3.686521,3.735896
R7SVavAsjzN3wy825PiOEg,1,3.854637,3.822853,3.816756,3.816756
sDGjlZV3SqYGWG9BO4ZpMA,1.6,3.774711,3.806462,3.830243,3.766723
UeYT4UMnfpb9lJkmKnz17w,3.454545,3.651898,3.680307,3.686521,3.735896
LE-1ZOsjpPh7p95H2l5Fww,3.769231,3.651898,3.680307,3.686521,3.735896
LWtoosGlzTOp8A73Jh7cQw,2.647059,3.666817,3.730746,3.775059,3.894209
VkdjWDnu5EDqT8PIhb4y3A,3.8,3.877985,3.889884,3.894209,3.894209
2ceeU8e3nZjaPfGmLwh4kg,3.894904,3.742501,3.737458,3.737473,3.739462
RvvYZthPciQNsZ6xkpYEPA,3.764706,3.799607,3.817569,3.844048,3.766723
qMcZZUPuycKK7n1FTij-4w,3.166667,3.04234,3.109742,3.147404,3.766723
O6fdmeu4Z_oei9MrgKuo2A,5,4.085179,4.067181,4.057162,3.766723
#NAME?,5,3.830653,3.799761,3.78548,3.813395
RCreCD-8sqSljl7hlzjU0Q,2.6,3.656142,3.67513,3.704209,3.803655
o5x6DF0KK1OBsiUOx2gavg,4.172414,3.933825,3.941048,3.946955,3.946955
AFx48YCp7n7dn-AXp71zAw,3.941176,3.905954,3.843127,3.823367,3.823367
DWFpar9CeOexuoAoa7XZBw,5,3.871261,3.823494,3.781179,3.766723
zXIAvYZkGTC-fmkIJV56aQ,3,3.833061,3.805519,3.792135,3.766723
4e4zVRe2emCErDVTkpK9xg,4,3.714494,3.740076,3.758422,3.766723
phMY07NVxReAJWjTN26nbA,5,4.212914,4.135343,4.069748,4.136283
jKHRI4bg4fP8zQVpE4jsIQ,4,4.010059,4.000087,3.999684,3.999684
UKq38-9aOgEbJojosyS8gQ,4,4.13208,4.110248,4.098618,4.161926
5FgkEKFjchfMqiAFGd_2sA,3.333333,3.521578,3.555751,3.566027,3.766723
Fn8hc8b3357nDJfFksdcbg,3.583333,3.824118,3.791792,3.788788,3.788788
9kue6njdYLYAr-ve65L0NA,2.666667,3.644655,3.643333,3.643368,3.697175
lqVuqQNrwCYwA63mUdbvwQ,2.285714,3.980247,3.968207,3.964834,3.964834
LY4WyxiRnmQTpo-9tGXetA,4,4.140213,4.129641,4.124779,3.766723
HkSyssTd5_QNNeGI0-ltTg,3.692308,4.025127,3.904093,3.872804,3.872804
qip479gfulCBUWzeDornJg,4.666667,3.735918,3.73089,3.725641,3.766723
oSKKhngtyMqqG1lvEv10uw,3.333333,3.837838,3.828833,3.820553,3.766723
DWyISlmBgg1kWryinUQXlA,4.857143,4.073334,4.033531,3.994614,3.766723
_fYoH2rzVyPYkzMiAOlDlg,1.333333,3.635415,3.636591,3.637708,3.724614
JLZdv8wgqgQuDRoD8e4duw,2,3.796772,3.820718,3.841379,3.766723
UwQ5PWlYnHsAIj1DCW4dVw,4,3.853483,3.81092,3.803655,3.803655
FAUSqRN1H7dGmu6EuPdOdg,4.333333,4.00018,3.996959,3.994679,3.766723
cIPE37nO7qvo3t1I15oO3Q,4.666667,3.588808,3.632775,3.648467,3.766723
Dr4mxelV9iWu5boJvgH_vg,3.909091,3.980247,3.968207,3.964834,3.964834
ZLKaWkiYClepNPIsO6SgdA,4.333333,3.766634,3.816234,3.85391,3.931511
3l72FflaaeI0tWEAWN3-gQ,3.698885,3.651898,3.680307,3.686521,3.735896
_wrA7CMbMqcWEDCNghi5cg,2.5,3.699121,3.697943,3.700924,3.700924
BZf4qRf0AOjMUGuejM8ljg,4,4.222513,4.219932,4.218537,3.766723
2BWTKRkPNgTTZNWGMkmYRw,3.083333,3.669786,3.694641,3.700165,3.700165
gL-bTBj3lYtDz7H2IK4jUw,3.375,3.55854,3.597611,3.624586,3.700165
ScvhAJe5lIJ7_SIvNTDfgg,3.666667,3.651898,3.680307,3.686521,3.735896
69xP04Hu5pxYi00DDCZIMQ,3.4,3.774711,3.806462,3.830243,3.766723
yuS1qDTkido8zUFrfj8O0g,3.75,3.883433,3.828019,3.818623,3.818623
hoDG7g0Qxqje0dP_7MqpHQ,3.865672,3.883433,3.828019,3.818623,3.818623
CC8Gn5h28utxP8i9zGorKQ,4,3.885282,3.867982,3.864848,3.864848
Vpg_FMSzMTBPvzpwbbRa7Q,3.833333,3.982226,3.970796,3.968538,3.968538
8UhKnPs2Jvz7vjzqYCTcWg,2.666667,3.656142,3.67513,3.704209,3.803655
TuuENwzxOFdDLY_oKCbFZw,4.513761,3.823891,3.805428,3.801109,3.801109
sh3kl5sfAhUwx6MlGNsftA,3.333333,3.417258,3.535979,3.618022,3.766723
TPcu6SzaW_lF5XUx8oSJxw,5,3.486627,3.571608,3.6154,3.766723
_FgyuDnyDCXmWBy03Tq8TQ,3,3.598502,3.646872,3.656382,3.656382
W7bazhsfvqj7jFokj9pOmA,3.333333,3.774711,3.806462,3.830243,3.766723
eqdEOyNbEvl-Gne_w3_0jw,3.454545,3.598502,3.646872,3.656382,3.656382
WU84-GQv7LfBD_R9LbWBJg,4,3.924348,3.897544,3.845186,3.766723
CEswyP-9SsXRNLR9fFGKKw,3.054795,3.558206,3.604988,3.621726,3.621726
rV3lt01Gv1g5dkyNIWpaOw,2.333333,4.134537,4.127397,4.123899,3.766723
fdZbEDgD0_wy4mTx6pjzZg,3.888889,3.635415,3.636591,3.637708,3.724614
o0Sm7tDF8wx6w9F2ZbdG2w,4,3.94019,3.856488,3.832772,3.832772
GHFfUWLpMGT80i36qMzgPw,3.375,3.788119,3.76799,3.764654,3.764654
NMiisW8V2YEd759ppZCIaA,5,4.430644,4.297882,4.241249,4.607595
oIwKhqTtHRebTW9jPiBTrw,2.666667,3.475623,3.569723,3.610864,3.735896
6YXNqpgPGTmhAU1YTHAR1Q,2.25,3.475623,3.569723,3.610864,3.735896
wdEnI9WTLHiqSCH1RdJ40w,3.181818,3.651898,3.680307,3.686521,3.735896
I4bSn5gXsHuSPu7L-d_8nQ,4.133956,3.824118,3.791792,3.788788,3.788788
lq2iZK7epi23byzcejjqTg,2.818182,3.788119,3.76799,3.764654,3.764654
RtfgSULLUNuLPxn5eTMJ-Q,3.666667,3.8308,3.788788,3.776504,3.776504
_bSdZgx6OuvkfIdudGKwGg,3.25,3.400426,3.455088,3.497307,3.558617
vR3eAwcgkh2EmVJegZO2dQ,3.727273,3.822501,3.807539,3.804177,3.804177
UCaF3g4e1Diqpf0A06smag,1.666667,3.656142,3.67513,3.704209,3.803655
xgfjaN0Vt9cj2div4kIKUg,4.444444,3.795231,3.774209,3.769955,3.769955
KHdadnkfYm0OgyIF_fvL8g,3.75,3.982226,3.970796,3.968538,3.968538
liyAhk8vzzgXyTHuF0qhxQ,2.333333,3.629409,3.673097,3.688032,3.688032
n3kfs4IMPijyhiNg7S0Bzg,4.333333,3.542266,3.577065,3.596213,3.596213
kz12EsdDhr4Y_yZ2OlAQzg,4.071429,3.883433,3.828019,3.818623,3.818623
uEJQSIjWui-TDWXaGlcqyQ,3.982709,3.89171,3.848011,3.831816,3.831816
66Odm4q0Yu3aAJv_GeEp5g,5,3.959203,3.918123,3.884117,3.766723
hyff2JyqQgf85MaJZslHCg,3.523364,3.661719,3.69203,3.701056,3.701056
9LxufAe_LqS78mNFYC0pJA,5,4.388578,4.269824,4.033787,4.862121
MdwoM1Qf87nmdA6Ma6tnMQ,4.25,3.705704,3.752653,3.785248,3.931511
Jlih7uC9Bmq8vvtcypSq1A,2.818182,3.597499,3.630831,3.650514,3.722898
WEUgyNNslbwhqYgku8Gt3Q,3.684211,3.795231,3.774209,3.769955,3.769955
X84kGyCyBbPDhIb_l-N3xw,4.333333,3.651898,3.680307,3.686521,3.735896
ZLiNw_Q36b-u1VFSeEEfsA,3.666667,3.510399,3.565764,3.593112,3.656382
jFfrM1y-L1icUZXjBpxmeg,4.361702,3.94019,3.856488,3.832772,3.832772
BQSRyn8C_nPzO-gCtgQdTQ,1,3.417258,3.535979,3.618022,3.766723
F0IZ08R_zInB7uQCZw2qOg,5,3.84017,3.88459,3.943323,3.766723
#NAME?,3.541667,3.830653,3.799761,3.78548,3.813395
6DOAe3gQQ0ibCc3XWqHDlw,3.5,3.486627,3.571608,3.6154,3.766723
k_PKdh26zn3MHUYVTkozwQ,5,3.79116,3.86017,3.914584,3.766723
T1EfT96sCrn_UUWQMhzB5w,3.548387,3.702477,3.703177,3.70348,3.70348
7TTGDhtXBTeii0uPxOSgyA,3.2,3.889949,3.905452,3.914371,3.914371
g9sBcVyH1MXLiTPDo06Wig,3.740741,3.883433,3.828019,3.818623,3.818623
UXdoudSdOY1ER51vXV6Jvg,2,3.779061,3.792626,3.811275,3.766723
Zpw07SfLkkzqKeRk07GWhw,2.333333,4.029241,3.981858,3.94589,3.766723
r4AZGoPHQ8JNT_uiiCnsHg,2.125,3.594971,3.647453,3.662329,3.735896
2EfXE9Fz1bCHFJpgrzE77Q,3.166667,3.388456,3.422839,3.493521,3.766723
_OYlq2UoKPQO_ElqhC3a8w,3.62,3.610279,3.649383,3.663051,3.663051
09YNMPANM20sCJkVvMC1vg,4.5,4.074835,4.063857,4.063485,4.197655
vwDE7dw6ee3JeAU0uMmGlA,2.833333,3.788119,3.76799,3.764654,3.764654
rohVwdnKJgts4H1P9HBSUA,2.8,3.847853,3.878302,3.903411,3.766723
s0ybRiP-upy7NG1LPzaXwQ,4.571429,4.364453,4.246022,4.221997,4.514286
