City,Street,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Mesa,UniversityDrSte22,3.4,1,5,1.019803902718557
Litchfield,Park,3.5492957746478875,4,71,1.2758728842414937
Phoenix,EncantoBlvd,3.4642857142857144,2,28,1.1489791387246722
Anthem,AnthemClubDr,4.0,1,3,0.816496580927726
Gilbert,ValVistaDr,3.5527156549520766,39,313,1.4044431908540824
Phoenix,33rdAve,3.857142857142857,1,7,0.3499271061118826
Gilbert,SinovaCt,4.666666666666667,1,3,0.4714045207910317
Paradise,Valley,2.9166666666666665,6,24,1.4976833963009524
Tempe,FarmerAve,3.9242424242424243,2,66,1.0489620564043014
Queen,Creek,4.25,1,4,1.299038105676658
Tempe,OrionSt,5.0,1,3,0.0
Gilbert,PecosRoad,4.0,1,3,0.816496580927726
Scottsdale,McDowellMountainRanch,3.0,1,3,1.4142135623730951
Phoenix,ParksideLn,4.2,1,5,1.6
Phoenix,MontecitoAve,4.2105263157894735,1,19,1.1506953215302866
Scottsdale,EvansRd,3.869565217391304,4,23,1.1907012119677525
Glendale,CactusRoad,3.8181818181818183,2,11,1.1134044285378082
Scottsdale,MontgomeryRd,5.0,1,3,0.0
Tempe,BaselineSt,3.913793103448276,1,58,0.876601642681804
Phoenix,15thAveSte201,2.3333333333333335,1,3,1.8856180831641267
Scottsdale,87thSt,3.616822429906542,7,107,1.4315853561769423
Glendale,55thAvenue,4.5,1,14,0.7319250547113999
Glendale,ThunderbirdRd,3.760869565217391,32,460,1.1283844281845539
Surprise,WaddellRd,3.5425531914893615,13,94,1.3500582620762909
Sun,Lakes,3.8,4,30,1.2220201853215573
Phoenix,GreenwayRoad,3.3863636363636362,7,44,1.1911779710344237
Sun,City,2.25,2,8,1.3919410907075054
Buckeye,MillerRoad,2.6666666666666665,1,3,1.247219128924647
Glendale,GlenHarborBlvd.,5.0,1,3,0.0
Chandler,3111WChandlerBlvd,5.0,1,5,0.0
Paradise,Valley,5.0,1,5,0.0
Tempe,BaselineRd,3.6836363636363636,49,1375,1.2148720301277705
Phoenix,23RdAvenue,2.7,1,10,1.1
Surprise,GreenwayRd,3.7433155080213902,12,187,1.136838529269288
Glendale,Az,3.7142857142857144,1,14,1.2777531299998797
Tempe,52stSt,3.5454545454545454,1,22,1.1171096115858643
Higley,RayRoad,2.5,1,10,1.2041594578792296
Phoenix,10thSt,5.0,1,4,0.0
Scottsdale,BellRd,3.4271844660194173,28,412,1.360696150694922
Guadalupe,AvenidaDelYaqui,4.119047619047619,2,42,1.0511304787925768
Queen,Creek,3.5714285714285716,2,7,1.498298354528788
Phoenix,RiverpointPkwy,2.7777777777777777,1,9,1.3966450099973928
Phoenix,GrandAve,3.739766081871345,15,342,1.1544969047931861
Scottsdale,PinnaclePeak,5.0,1,3,0.0
Phoenix,5thSt,4.12476370510397,10,529,0.9503412932490773
Fountain,Hills,4.4,1,5,0.8
Scottsdale,GaineySuitesDr,3.75,1,16,0.9013878188659973
Peoria,UnionHillsDrive,2.7,2,10,1.4866068747318506
Phoenix,5thAve,4.319796954314721,2,591,0.8885037286709205
Scottsdale,FairmountAve,5.0,1,4,0.0
Mesa,ValleyAutoDrive,4.4,1,5,0.48989794855663565
Sun,City,4.1,1,30,1.2206555615733705
Phoenix,UnionHillsDr,3.3360323886639676,29,247,1.4271929808610269
Tempe,ScottsdaleRoad,3.5294117647058822,6,34,1.2657314583147068
Tempe,ForestAve,3.8263473053892216,4,167,1.0552522525466206
Scottsdale,HaydenRd,Ste15,5.0,1,3,0.0
Phoenix,7thAve,3.934088152042054,81,2473,1.116406409350214
Phoenix,7th,4.666666666666667,1,3,0.4714045207910317
Phoenix,OlympicDr,2.75,1,4,1.479019945774904
Phoenix,CactusRd,Ste206,5.0,1,4,0.0
Phoenix,BellRdSte17,3.25,1,4,1.299038105676658
Tempe,KyreneRd,3.9574468085106385,8,141,1.21382310525818
Youngtown,111thAve,3.3333333333333335,1,3,1.247219128924647
Phoenix,RayRdOfc,2.3333333333333335,1,3,0.4714045207910317
Mesa,CentennialWay,3.347826086956522,3,23,1.3386786363774479
Tempe,McClintockAve,3.0,1,7,1.5118578920369088
Maricopa,HoneycuttAve,3.125,1,8,1.4523687548277813
Scottsdale,EarllDr,4.125,4,16,1.5761900266148114
Scottsdale,McDowellMtRanchRd,4.222222222222222,1,9,0.7856742013183862
Tempe,ToddDr,5.0,1,3,0.0
Avondale,BuckeyeRoad#105,3.0,1,4,1.0
Glendale,SunsetBlvd,2.6610169491525424,2,118,1.208867932273343
Gilbert,WarnerRdSte105,3.142857142857143,1,7,1.6413036132965795
Scottsdale,WinfieldScottPlz,3.3278688524590163,1,122,1.2638908372063198
Queen,Creek,3.5384615384615383,3,13,1.2779421327566267
Scottsdale,PrincessBlvd,3.076923076923077,3,39,1.4915938022819475
Anthem,OpportunityWay,5.0,1,5,0.0
Phoenix,CamelbackRoad#B2,3.75,1,4,0.82915619758885
Scottsdale,ViaDeVenturaSte104,5.0,1,3,0.0
Surprise,BellRoad,3.14,13,100,1.4001428498549702
Scottsdale,116St,3.6666666666666665,1,3,1.8856180831641267
Scottsdale,91stSt,3.6,6,30,1.8547236990991405
Mesa,BassProDr,4.5,1,20,0.9219544457292888
Phoenix,43rdAvenue,4.25,1,8,1.0897247358851685
Tempe,courtWay,3.4558823529411766,1,68,1.193534340290755
Goodyear,EstrellaParkway,2.8333333333333335,2,6,1.8633899812498247
Guadalupe,AvenidadelYaqui,4.0,1,6,1.0
Tempe,JentillyLn,5.0,1,5,0.0
Tempe,PriestRd,2.975609756097561,1,41,1.3878884624835897
Phoenix,MetroPkwyWest,3.0,1,3,1.4142135623730951
Tempe,8thStreetOfc,2.6666666666666665,1,3,1.247219128924647
Mesa,HigleyRoad#102,3.6666666666666665,1,3,1.8856180831641267
Scottsdale,CamelbackRd,3.7715179968701094,125,4473,1.1599636311051094
Phoenix,GreenwayBlvd,3.142857142857143,1,21,1.3196577581477162
Goodyear,LitchfieldRd.,3.0,1,3,0.816496580927726
Tempe,52ndStreet,2.6,2,25,1.1313708498984762
Scottsdale,CrescentMoonDrive,4.230769230769231,1,52,1.0305970005364815
Chandler,GilbertRoad,3.5,1,4,0.8660254037844386
Phoenix,SweetwaterAve,5.0,1,3,0.0
Peoria,HappyValleyPkwy,4.4,1,10,1.0198039027185568
Mesa,HigleyRd.,2.0,1,3,1.4142135623730951
Phoenix,2ndStreet,2.0,1,3,0.816496580927726
Phoenix,MetroPkwyE,3.5205479452054793,10,146,1.1658331025681705
Chandler,PecosRd,3.8541666666666665,5,48,1.338369395529085
Scottsdale,83rdPlSte4,5.0,1,3,0.0
Scottsdale,Scottsdale,4.25,1,4,0.82915619758885
Coolidge,ArizonaBlvd,3.7777777777777777,2,9,1.3966450099973926
Phoenix,1stSt,3.8289544235924935,15,1865,1.1086877157278836
Mesa,ClearviewAve.,3.3333333333333335,1,12,1.1055415967851334
Tempe,KyreneRoad,1.0,1,3,0.0
Phoenix,MetroPkwyW,3.5714285714285716,16,182,1.1919404913869849
Mesa,Longmore,3.0476190476190474,4,21,1.0454523047666737
Glendale,ParadiseLn,3.6666666666666665,1,3,1.8856180831641267
Cave,Creek,4.333333333333333,1,3,0.9428090415820634
Carefree,HumRd,3.5,2,8,1.7320508075688772
Mesa,BroadwayStreet,4.25,1,8,1.0897247358851685
Phoenix,46thSt,4.555555555555555,3,9,0.6849348892187751
Phoenix,DaisyMountainDr,2.0,1,4,1.224744871391589
Chandler,ChandlerBoulevard,3.25,25,132,1.4635728388247216
Mesa,SignalButte,4.125,1,8,0.7806247497997998
Gold,Canyon,2.588235294117647,3,17,1.0878377652298192
Gilbert,LindsayRoad,4.0,1,4,0.0
Scottsdale,DynamiteBlvd,4.46875,3,32,0.7493486755176124
Phoenix,LoneCactusDr,3.1,4,20,1.6401219466856725
Gilbert,RayRoad,3.6666666666666665,1,3,1.247219128924647
Casa,Grande,3.0,1,3,0.816496580927726
Scottsdale,GreenwayRdSte107,3.75,1,4,0.82915619758885
Chandler,GermannRd,3.485645933014354,26,418,1.3218931939696787
Buckeye,MillerRd,3.0,1,11,1.4142135623730951
Peoria,GolfClubDrive,3.3333333333333335,1,3,1.699673171197595
Scottsdale,ScottsdaleRd#108,4.166666666666667,1,6,1.462494064565354
Glendale,OliveAve,3.973568281938326,20,227,1.082177218241627
Mesa,AlmaSchoolRdSte103,4.666666666666667,1,3,0.4714045207910317
Glendale,SunriseBlvd,3.0816326530612246,3,98,1.1399379627566484
Scottsdale,GrayRd,4.5,3,10,1.2041594578792296
El,Mirage,2.0,1,12,0.9128709291752769
Phoenix,23rdAve,3.875,3,16,1.3635890143294642
Peoria,91stAve,5.0,1,3,0.0
Gilbert,GilbertRoad,3.0,10,42,1.4800257398019099
Sun,City,2.3333333333333335,1,3,0.9428090415820634
Phoenix,MaricopaFwy,4.714285714285714,2,7,0.45175395145262565
Tolleson,99thAve,3.909090909090909,6,44,1.3111095547141782
Mesa,LeonoraCir,5.0,1,3,0.0
Phoenix,BarwickDr,2.2,1,5,1.6
Peoria,KeltonLane,4.0,1,3,1.4142135623730951
Gilbert,KnoxRd,3.625,2,8,0.6959705453537527
Chandler,RiggsRd,4.051282051282051,8,39,0.7493148305744849
Scottsdale,FirstSt,2.3333333333333335,1,3,1.8856180831641267
Glendale,57thAvenue,1.6666666666666667,1,3,0.9428090415820634
Phoenix,28thAve,2.1666666666666665,1,6,1.674979270186815
Scottsdale,ScottsdaleRd.,3.7948717948717947,6,78,1.0544043689719014
Scottsdale,OsbornRoad,1.375,1,8,0.9921567416492215
Gilbert,ValVistaRd,4.516129032258065,1,31,0.7126039365927266
Scottsdale,BrownAvenue,2.3333333333333335,1,3,0.9428090415820634
Glendale,HannaLn,3.4705882352941178,2,17,1.3336216527946627
Tempe,CurryRd,4.923076923076923,3,26,0.26646935501059654
Surprise,LitchfieldRd,2.9,8,60,1.3625955623979797
Mesa,GilbertRoad,3.2666666666666666,4,15,1.4360439485692011
Phoenix,16ThSt,2.75,1,4,0.82915619758885
Phoenix,27thAve,4.097122302158273,26,556,1.0967212381689393
Tempe,15thStreet,3.5,1,8,1.118033988749895
Chandler,OregonSt,4.009433962264151,2,106,1.041545323417736
Queen,Creek,3.6666666666666665,1,3,1.8856180831641267
Gilbert,ValVistaDr#110,3.95,1,20,1.16081867662439
Peoria,VistanciaBlvd,2.8333333333333335,1,6,0.8975274678557507
Peoria,ParadiseLn,3.3333333333333335,2,6,0.7453559924999298
Tempe,RooseveltSt,4.6,1,5,0.7999999999999999
Avondale,ThomasRd,4.6,1,10,0.48989794855663565
Phoenix,CamelbackRdSte101,5.0,1,4,0.0
Gilbert,CooperRd.,2.75,1,4,1.7853571071357126
Avondale,DysartRd,3.8,29,320,1.2031209415515969
Mesa,LongbowPkwy,4.2,1,5,0.7483314773547882
Maricopa,MaricopaRd,3.5416666666666665,6,48,1.5405401289446794
Phoenix,14thSt,4.2924528301886795,1,106,0.9312902505630969
Scottsdale,71stPl,3.8461538461538463,2,13,1.6098807335735654
Phoenix,18thWay,5.0,1,5,0.0
Laveen,BaselineRd,2.9642857142857144,13,84,1.5541528742252433
Mesa,PowerRd,3.9599109131403116,46,449,1.102011116032243
Mesa,ArborAve,5.0,1,4,0.0
Chandler,SycamorePl,5.0,1,4,0.0
Mesa,StapleyDrive,2.8260869565217392,9,46,1.372150768526913
Glendale,MarylandAve,4.0120481927710845,3,83,0.9248116174648422
Phoenix,MarylandAvenue,5.0,1,3,0.0
Peoria,GrandAve,3.05,5,20,1.829617446353199
Scottsdale,PimaRoad,Ste100,5.0,1,5,0.0
Scottsdale,FrankLloydWright,3.7142857142857144,2,7,1.2777531299998797
Glendale,HappyValleyRd,3.7017543859649122,13,114,1.2699621804107963
Phoenix,RayRd,3.5402298850574714,60,783,1.3152425775611722
Phoenix,WoodDr,5.0,1,4,0.0
Phoenix,ChaunceyLn,3.453333333333333,5,75,1.602442580007853
Mesa,CountryClubDr,3.8931860036832413,32,543,1.2014454065208855
Glendale,CamelbackRd,3.6956521739130435,4,23,1.1203564110195758
Phoenix,AcomaDr,5.0,1,7,0.0
San,Tan,3.25,2,32,1.346291201783626
Chandler,PriceRoad,4.166666666666667,1,6,0.6871842709362768
Cave,Creek,3.5,1,4,0.8660254037844386
Chandler,WildhorsePassBlvd,3.466666666666667,1,15,0.8844332774281067
Mesa,IngramSt,2.0,1,4,1.7320508075688772
Casa,Grande,3.8620689655172415,4,29,1.2518713697014723
Phoenix,BiltmoreDr,2.6666666666666665,1,3,1.247219128924647
Tempe,ConferenceDr,3.6666666666666665,1,3,1.8856180831641267
Tempe,Guadalupe,3.5454545454545454,2,11,1.4993111365882401
Tempe,MillAveSte201,3.4285714285714284,1,7,0.9035079029052513
Glendale,95thAve,3.026315789473684,8,114,1.287323664066844
Surprise,ReemsRd,4.04,6,50,1.2642784503423288
Scottsdale,StetsonDrSte140,1.3333333333333333,1,3,0.4714045207910317
Phoenix,28thSt,4.75,2,8,0.4330127018922193
Anthem,AnthemWaySteB154,5.0,1,3,0.0
Glendale,GlenHarborBlvd,3.5,2,10,0.9219544457292888
Glendale,ThunderbirdRoad,Ste.115,5.0,1,3,0.0
Phoenix,51stAve,3.8181818181818183,4,33,1.2662171161076474
Mesa,ImpalaAve,4.0,2,8,1.7320508075688772
Phoenix,LincolnDr,4.253521126760563,8,71,0.9745827544792222
Phoenix,BrookwoodCt,5.0,1,5,0.0
Glendale,CamelbackRoad,4.555555555555555,3,9,0.4969039949999533
Phoenix,ParadiseVillagePkwyW,3.7777777777777777,1,9,0.628539361054709
Phoenix,ParadiseVillagePkwyS,3.28,3,25,1.3717142559585795
Phoenix,CamelbackRd,SteA-16,3.3333333333333335,1,3,0.4714045207910317
Avondale,ClubhouseDr,3.6666666666666665,1,3,1.247219128924647
Glendale,ArrowheadCenter,3.0,1,9,1.4907119849998598
Scottsdale,MainSt,3.7915726109857038,16,1329,1.1166924224345882
Carefree,TomDarlingtonDr,4.236486486486487,5,148,1.029047621140121
Glendale,GlendaleAvenue,2.35,6,20,1.2359207094308275
Chandler,GlenviewPl,2.3333333333333335,1,3,1.8856180831641267
Cave,Creek,4.714285714285714,1,7,0.6998542122237652
Phoenix,CentralAvenue,3.6578947368421053,15,114,1.3167540324229592
Peoria,DeerValleyRdSte110,3.25,1,4,1.7853571071357126
Scottsdale,PoinsettiaDrive,3.375,1,16,1.3635890143294642
Mesa,39thSt,5.0,1,3,0.0
Litchfield,Park,2.5555555555555554,1,9,1.1653431646335017
Scottsdale,102ndWay,4.411764705882353,1,34,0.6910200073218076
Tortilla,Flat,3.4516129032258065,1,31,1.0727928482784446
Mesa,8thSt,3.8043478260869565,4,46,1.2958053600718458
El,Mirage,3.625,2,8,1.653594569415369
Fort,McDowell,4.411764705882353,1,17,0.8442764761416072
Phoenix,BellRd.,2.7857142857142856,2,14,1.2058530725810095
Phoenix,Thunderbird,3.857142857142857,1,7,0.9897433186107869
Scottsdale,SheaBlvdS,3.357142857142857,1,14,1.673624930551426
Phoenix,13thAve,3.25,1,8,1.6393596310755
Phoenix,MayoBlvdBldg4,2.5,1,6,1.5
Tempe,AllAmericanWay,4.375,1,8,0.6959705453537527
Phoenix,Washington,3.9649122807017543,5,57,1.008123361302361
Avondale,RanchoSantaFeBlvd,3.931297709923664,4,131,1.099554661375929
Peoria,DeerValleyRd,4.055555555555555,8,54,1.296957503325417
Gilbert,CommerceAve,4.571428571428571,2,14,1.049781318335648
Mesa,RooseveltRd,1.0,1,3,0.0
Surprise,GreenwayRoad,3.3333333333333335,1,3,1.699673171197595
Phoenix,27Avenue,1.75,1,4,1.299038105676658
Scottsdale,MarshallWay,3.6744186046511627,8,86,1.2430444665016527
Scottsdale,78thSt,4.0,1,3,0.816496580927726
Chandler,DobsonRoad,3.0,4,16,1.6583123951777
Chandler,SundustRd,2.2,1,5,0.9797958971132712
Phoenix,OsbornRd,3.5358649789029535,16,237,1.3167937464913944
Phoenix,CoolidgeSt,5.0,1,3,0.0
Tempe,ArizonaMllsCir,3.5,1,8,0.8660254037844386
Peoria,67thAve,3.3,1,10,0.9
Phoenix,AnthemWay,4.0,3,16,1.541103500742244
Chandler,MetroBoulevard,3.5714285714285716,1,7,1.049781318335648
Phoenix,TatumBoulevard,Ste28,3.75,1,4,1.6393596310755
Fountain,Hills,4.0,1,12,1.224744871391589
Phoenix,MountainViewRd,4.7272727272727275,1,11,0.8624393618641032
Tempe,BroadwayRdSte101,3.3333333333333335,1,27,1.4401645996461911
Scottsdale,87thStreet,3.72,4,25,1.5104966070799366
Phoenix,ParadiseVillagePkwy,3.9393939393939394,1,33,1.277767796503516
Scottsdale,Scottsdale#102,3.0,1,6,1.2909944487358056
Scottsdale,McKellipsRd,3.973684210526316,1,38,1.1581937412981782
Glendale,75thAve,4.192982456140351,4,57,1.0334509807033783
Tempe,IkeaWay,3.838150289017341,1,173,1.0241822004532928
Scottsdale,SheaBlvd.,3.967289719626168,3,214,1.02485701769405
Phoenix,IndianSchoolRd.,3.9118942731277535,3,227,1.1071212928598952
Youngtown,113thAve,2.7777777777777777,2,9,1.9876159799998132
Maricopa,Highway238,4.0,1,3,1.4142135623730951
Apache,Junction,4.333333333333333,2,15,1.1925695879998877
Phoenix,AguaFriaFwy,3.6345381526104417,15,249,1.1885379157008122
Phoenix,NorterraDr,4.75,1,4,0.4330127018922193
Ahwatukee,ChandlerBlvd,3.84,1,75,0.9097985124923715
Phoenix,SkyHarborCirS,2.6818181818181817,5,66,1.499081445106756
Chandler,GermannRoadApt2150,3.6666666666666665,1,3,1.247219128924647
Phoenix,16thST,4.444444444444445,1,9,0.8314794192830981
Phoenix,CamelbackRdSuite1,2.6666666666666665,1,3,1.247219128924647
Surprise,BullardAve,4.125,2,40,0.899652710772329
Phoenix,43rdAve,4.082926829268293,7,205,1.1382276421602815
Phoenix,MayoBlvd,3.9113545816733066,30,1004,1.0964950307044201
Phoenix,SkyHarborBlvd,3.035828534868842,38,1563,1.230346091483511
Chandler,ChandlerBlvd#1116,4.166666666666667,1,6,0.8975274678557507
Glendale,53rdAve,5.0,1,7,0.0
Tempe,WilsonSt,4.066666666666666,2,15,1.5691469727919762
Fountain,Hills,4.666666666666667,1,3,0.4714045207910317
Surprise,Bullard,4.625,1,8,0.4841229182759271
Scottsdale,SweetwaterAve,3.3333333333333335,1,3,1.699673171197595
Chandler,PageAve,4.0,1,3,0.816496580927726
Chandler,PriceRd,3.6923076923076925,2,13,1.4349813927828945
Casa,Grande,4.0,5,23,1.2510864843424485
Chandler,Kyrene,4.333333333333333,1,3,0.4714045207910317
Glendale,UnionHillsDrive,3.0714285714285716,4,14,1.6675167899898216
Casa,Grande,3.6666666666666665,1,3,0.4714045207910317
Chandler,ChandlerBlvd,3.5854675402025014,155,3358,1.2464327677094245
Phoenix,Camelback,3.4685714285714284,7,175,1.2774464324405552
Phoenix,16thAve,3.3333333333333335,1,3,1.699673171197595
Morristown,CastleHotSpringsRd,4.375,1,16,0.5994789404140899
Chandler,ElliotRd,3.6526315789473682,3,95,1.158660034174064
Phoenix,16thSt,3.9345222929936305,89,3925,1.1304891257839507
Phoenix,GreenwayPkwy,3.4725274725274726,8,91,1.2433617964766202
Scottsdale,3rdAv,2.8,1,5,1.8330302779823362
Mesa,MainStSteB,2.75,1,4,0.82915619758885
Carefree,CaveCreekRd,3.5,1,6,1.3844373104863459
Glendale,HannaDr,2.8461538461538463,2,26,1.1991120975476846
Chandler,CoronadoStOfc,3.0,1,4,2.0
Chandler,Boston,4.220779220779221,2,77,1.039772410454447
Chandler,FryeRd,3.523076923076923,9,260,1.1382536192673174
Maricopa,SmithEnkeRd,3.4761904761904763,2,21,1.3669238185149832
Buckeye,USHighway85,4.0,1,5,1.5491933384829668
Maricopa,MaricopaCasaGrandeHwy,4.428571428571429,1,7,0.7284313590846836
Phoenix,VanBurenStreetApt1006,2.3333333333333335,1,3,1.8856180831641267
Chandler,ArizonaAveSte5,2.25,1,4,1.6393596310755
Chandler,ChandlerBlvd.,3.7642276422764227,4,123,1.0598458302750222
Tempe,ApacheBlvd.,4.049618320610687,1,262,0.9253737883763355
Phoenix,WashingtonSt.,4.217391304347826,2,23,0.882512310008019
Scottsdale,RedfieldRd,5.0,3,12,0.0
Fountain,Hills,3.0,1,5,1.0954451150103321
Tempe,ApacheBoulevard,2.3076923076923075,2,13,1.2639751327042295
Phoenix,6thSt,4.492063492063492,6,63,0.7532578106479154
Glendale,LitchfieldRd,3.8461538461538463,1,26,0.8634593969478325
Morristown,GrandAve,2.6666666666666665,1,3,1.247219128924647
Scottsdale,V¨ªaLinda,4.6,1,5,0.48989794855663565
Tempe,VeteransWayTempe,4.454545454545454,1,11,0.655554777357089
Scottsdale,ScottsdaleRoad,3.497872340425532,35,235,1.3380661437237058
Glendale,BethanyHomeRoad,3.25,1,4,0.82915619758885
Tempe,LemonSt,3.3529411764705883,2,17,1.3694643208026842
Tempe,WarnerRd,3.7849264705882355,40,544,1.252817704407062
Scottsdale,ottsdaleRd,3.717391304347826,2,46,1.0766906519165038
Phoenix,SahuaroDr,3.6666666666666665,1,3,0.4714045207910317
Glendale,67thAvenue,3.206896551724138,7,29,1.2697898372084118
Cave,Creek,3.0,4,21,1.3093073414159542
Peoria,LakePleasantRoad,4.0,1,4,1.7320508075688772
Mesa,ValleyAutoDr,2.3,1,10,1.4177446878757827
Scottsdale,McDonaldDrive,3.5,3,16,1.4577379737113252
Phoenix,HighSt,3.5358744394618835,10,446,1.2136425632079946
Phoenix,SouthernAvenue,3.6923076923076925,1,13,0.7216024245882199
Scottsdale,6thAve,3.5474452554744524,4,274,1.1650055788827174
Phoenix,83rdAve,3.477272727272727,4,44,1.0550449444031966
Queen,Creek,2.75,1,4,1.299038105676658
Tempe,MillAveS,3.05,1,100,1.0805091392487163
Phoenix,37thSt,4.142857142857143,2,7,0.9897433186107869
Avondale,LowerBuckeyeRd,4.0,1,3,0.816496580927726
El,Mirage,4.333333333333333,1,6,0.7453559924999298
Mesa,DobsonRdSte107,4.75,1,4,0.4330127018922193
Tempe,AutoDr,3.871794871794872,4,39,1.3044202402027592
Scottsdale,NorthsightBlvd109,1.6666666666666667,1,3,0.4714045207910317
Chandler,GalvestonStreet,3.3333333333333335,1,3,0.4714045207910317
Phoenix,SquawPeakRd,4.3544303797468356,1,79,0.7469427084522495
Scottsdale,70thSt,5.0,1,6,0.0
Scottsdale,ViadeVentura,4.011627906976744,2,86,1.0836435744424928
Tempe,UniversityDr.,3.086206896551724,1,58,1.1638888849474254
Gilbert,SunriseBlvd,2.3333333333333335,1,3,1.8856180831641267
Peoria,SurreyAve,3.3333333333333335,1,3,1.699673171197595
Phoenix,HappyValleyRd.,4.428571428571429,2,21,1.0033955955097849
Avondale,WIndianSchoolRd,4.3,1,20,0.8426149773176358
Chandler,Dobson,3.3333333333333335,1,3,1.699673171197595
Glendale,HappyValleyRoadSuiteA104,3.2666666666666666,2,15,1.18133634311129
Tempe,MillAve.,2.5,1,22,1.0335288182638247
Queen,Creek,4.333333333333333,1,6,1.4907119849998596
Phoenix,7thStreet,3.7350993377483444,24,151,1.4174970327355647
Scottsdale,ScottsdaleAve,3.694915254237288,1,118,1.2317032067135028
Scottsdale,ottsdaleMall,3.5555555555555554,2,9,1.3425606637327303
Gilbert,AshSt,4.125,1,24,0.8809322713277489
Phoenix,VanBurenSt,3.44015444015444,28,518,1.2640292165603284
Glendale,ThunderbirdRoad,3.5555555555555554,6,18,1.4229164972072998
Tempe,SouthernAvenue,3.5245901639344264,7,61,1.4777758806212373
Phoenix,TatumBoulevard,Ste.110,2.75,1,4,1.479019945774904
Goodyear,TestDrive,4.333333333333333,1,3,0.9428090415820634
