Category,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Midwives,3.0,3,14,0.0
Windshield Installation & Repair,3.263157894736842,9,38,0.7925379129671366
Auto Parts & Supplies,3.7317708333333335,35,192,0.8475952439004355
Food Stands,4.360869565217391,12,345,0.2865170108030605
Home Theatre Installation,5.0,2,33,0.0
Arcades,3.2745098039215685,11,306,0.4882313567838719
Latin American,3.976637887252412,21,1969,0.25289119745843447
Tree Services,3.980769230769231,6,26,0.5629723526270941
Home Decor,4.0,55,530,0.5811504530296813
Photography Stores & Services,3.308988764044944,11,89,0.6890215256398755
Pets,4.20709309689677,248,1579,0.7481370391390209
Laboratory Testing,2.5,2,6,0.0
Medical Centers,3.7685185185185186,28,108,1.1064330533335114
Martial Arts,4.524590163934426,16,61,0.7966437255618237
IT Services & Computer Repair,3.9003623188405796,23,276,0.6968094050642022
Carpet Installation,3.5,1,3,0.0
Gun/Rifle Ranges,4.128571428571429,4,35,0.5118992247762547
Antiques,4.076517150395778,38,379,0.5442939864055658
Golf Equipment,2.8,2,10,0.24494897427831783
Ophthalmologists,4.166666666666667,3,15,0.4714045207910317
Botanical Gardens,4.5,1,262,0.0
Radio Stations,3.830357142857143,10,56,0.7275005259833992
Food Trucks,4.8125,3,16,0.24206145913796356
African,4.0,2,44,0.0
Investing,5.0,1,3,0.0
Salad,3.465587044534413,9,247,0.38681450993378436
Internet Cafes,4.325,2,20,0.23848480035423644
Pakistani,3.644012944983819,17,618,0.5263030491160039
Personal Chefs,5.0,1,7,0.0
Piano Bars,3.5,2,195,0.0
Pest Control,3.91,22,100,1.1840185809352823
General Dentistry,4.233887733887734,91,481,0.9015321100218661
Financial Services,3.555,55,200,1.197695704258807
Real Estate Agents,4.735294117647059,9,34,0.4886249331128279
Landmarks & Historical Buildings,3.720379146919431,12,211,0.5059005843753397
Diagnostic Imaging,2.5,1,6,0.0
Skating Rinks,3.4150943396226414,5,53,0.58062953031808
Window Washing,4.484848484848484,5,33,1.1246874884785234
Personal Shopping,4.461538461538462,2,26,0.4985185152621431
Insurance,4.5285714285714285,9,35,0.9330660453033103
Plus Size Fashion,4.5,1,9,0.0
Playgrounds,4.475609756097561,8,82,0.21951219512195122
Mobile Phones,2.6913319238900635,70,473,0.7589277805459881
Video/Film Production,5.0,2,7,0.0
Real Estate Services,4.576923076923077,16,65,0.8911132589276665
Electricians,4.980769230769231,11,78,0.09615384615384616
Watch Repair,4.5625,6,40,0.29973947020704494
Session Photography,2.75,2,6,0.75
Hookah Bars,4.0625,4,16,0.49607837082461076
Kosher,4.011450381679389,2,131,0.07479357993231078
Professional Services,3.8517915309446256,71,307,1.2260826029980727
Fertility,3.4375,2,8,0.7261843774138906
Horseback Riding,4.733333333333333,10,75,0.46427960923947065
Boating,4.03921568627451,6,51,0.36839792604031246
Departments of Motor Vehicles,3.1641791044776117,7,67,0.581993868905828
Breweries,3.933520599250936,25,2670,0.5016638631575357
Windows Installation,3.9583333333333335,4,24,0.9344858955002417
Tax Services,5.0,3,10,0.0
Kitchen & Bath,4.229299363057325,20,157,0.574097036394586
Cinema,3.760614525139665,52,1790,0.468071834733286
Apartments,2.723287671232877,83,365,0.9530801613492913
Festivals,3.3218085106382977,19,188,1.0139468519853363
Hobby Shops,4.082872928176796,24,181,0.6383546965906819
Pawn Shops,3.8142857142857145,7,35,1.3314101776779723
Printing Services,3.7732919254658386,37,161,0.8208280748391338
Bowling,3.5285714285714285,23,350,0.48760137616788607
Makeup Artists,4.6,11,40,0.5722761571129799
Swimming Lessons/Schools,4.7439024390243905,5,41,0.24992562843803898
Pubs,3.9157662624035283,43,4535,0.46659589976751425
Animal Shelters,4.469512195121951,10,82,0.45093102181669076
Travel Services,2.7096774193548385,7,62,0.7102270598807741
Guns & Ammo,3.983695652173913,5,92,0.5825874022714911
Rafting/Kayaking,3.575,3,80,0.3269174207655505
Tours,4.161654135338346,23,399,0.5246392919361834
Cambodian,4.5,1,117,0.0
Zoos,3.9740932642487046,3,193,0.1108251276487432
Turkish,3.8149606299212597,3,127,0.4645001953937835
Event Planning & Services,3.739530759787205,453,7331,0.6288850318447413
Tobacco Shops,4.067204301075269,38,186,0.7347369737713367
Tea Rooms,4.485964912280702,6,285,0.08258668277852504
Television Service Providers,2.532258064516129,6,31,0.6467721824439814
Knitting Supplies,4.5,1,4,0.0
Food,3.9468240049936094,1616,33643,0.5459006815985583
Graphic Design,4.787878787878788,8,33,0.40881022918884974
Shipping Centers,3.3216216216216217,43,185,0.9274012324873157
Health & Medical,3.9913194444444446,471,2304,0.9785739316075794
Professional Sports Teams,4.0,5,67,0.45711620391383745
American (New),3.8770828203234013,341,24366,0.42768352860853937
Gay Bars,3.54149377593361,26,482,0.43847653192434133
Cooking Schools,3.647727272727273,6,44,0.9803729894010277
Italian,3.9410591364205256,263,12784,0.47520152987943426
Landscaping,3.827272727272727,22,110,0.978022967838606
Bankruptcy Law,4.7,3,15,0.6
Dance Clubs,3.175548589341693,38,957,0.6301447288524421
Food Delivery Services,3.5240384615384617,20,312,0.5677489049161879
Amusement Parks,3.66497975708502,28,494,0.5999395209019172
Hot Tub & Pool,3.8461538461538463,8,26,1.0810361017350152
Specialty Schools,4.081932773109243,36,238,0.9078377463136271
Outlet Stores,3.508532423208191,9,293,0.3264697349779691
Sports Clubs,3.475609756097561,6,41,0.6043664240665301
Kids Activities,3.5,2,14,0.0
Office Cleaning,4.176470588235294,4,17,0.8901615264953857
Landscape Architects,3.6923076923076925,3,13,0.8213137116947163
Orthopedists,4.25,3,10,1.14564392373896
Banks & Credit Unions,3.1462585034013606,40,147,1.0468788797937918
Shaved Ice,4.136363636363637,3,11,0.22268088570756164
Swimming Pools,4.142857142857143,15,105,0.47666642880922655
Office Equipment,3.336842105263158,25,95,0.7519872103586179
Accessories,3.980769230769231,79,520,0.8148946278126209
Polish,4.4830827067669174,4,266,0.0904016139579778
Talent Agencies,3.5,1,3,0.0
Watches,3.727272727272727,6,22,1.3291083197466769
Mini Golf,3.1688741721854305,6,151,0.47412316147477046
Psychiatrists,1.0,1,3,0.0
German,3.925,6,420,0.18827221932996002
Massage,4.163934426229508,63,610,0.6006916196598624
Airport Shuttles,3.2115384615384617,5,52,0.6381023085783484
Child Care & Day Care,4.178571428571429,12,56,1.0369450814969983
Notaries,2.909090909090909,3,11,1.345331689722613
Auto Detailing,3.5575539568345325,21,139,1.04928741954494
Diving,3.727272727272727,3,11,1.0082305914917653
Wholesale Stores,4.083044982698962,19,289,0.3301825038760082
Gelato,4.390692640692641,8,462,0.21436495539543016
Casinos,3.241573033707865,7,178,0.5358620040296818
Luggage,3.2142857142857144,4,14,0.8390957231764807
Electronics Repair,3.611111111111111,2,9,1.2422599874998832
Public Transportation,3.4195402298850577,6,174,0.513459996418208
Boat Charters,4.5,1,7,0.0
Jewelry,4.201234567901235,70,405,0.6828577978894239
Pet Services,4.238903394255875,119,766,0.7296237082773456
Wigs,4.7,2,15,0.6000000000000001
Korean,3.7037735849056603,27,795,0.4343558510483986
Meat Shops,4.393491124260355,12,169,0.2673875391170415
Ear Nose & Throat,2.94,5,25,0.16248076809271922
Transportation,2.8448275862068964,29,638,0.8579683034774165
Russian,3.5,1,11,0.0
Photographers,4.829670329670329,22,91,0.5940167802962452
Employment Agencies,4.55,3,10,0.687386354243376
Taiwanese,3.7436974789915967,2,119,0.2499205438313118
Building Supplies,3.4869565217391303,30,230,0.44702334130877136
Resorts,3.7996031746031744,7,504,0.5913730335007057
Chicken Wings,3.329954954954955,46,888,0.6714271459997415
Divorce & Family Law,4.357142857142857,4,14,0.7423074889580903
Local Flavor,3.963020030816641,48,649,0.896932351778306
Music Venues,3.8185040765685927,60,2821,0.5290477849298133
Home Inspectors,4.277777777777778,6,27,1.1811273125260722
Peruvian,3.5267857142857144,4,56,0.23941227996057005
Beer, Wine & Spirits,4.068901686548745,86,2431,0.45834686204820757
Vocational & Technical School,3.5,1,3,0.0
Health Markets,3.9918314703353395,46,1163,0.46287114639710447
Gyms,3.5780172413793103,104,1160,0.8745390114004953
Physical Therapy,4.433333333333334,19,120,0.591373166640339
Burmese,4.5,1,30,0.0
Afghan,4.005050505050505,3,99,0.35172697669656866
Dry Cleaning & Laundry,3.6103117505995206,74,417,0.9582729011984403
Ethnic Food,4.120315581854044,39,1014,0.3994837632919913
Herbs & Spices,4.527777777777778,2,54,0.1145307118227128
Private Investigation,5.0,1,5,0.0
Social Clubs,4.7,3,20,0.24494897427831783
Gift Shops,4.1875,2,24,0.6091746465505602
Nurseries & Gardening,4.413194444444445,22,144,0.6543918431746993
Greek,3.7678429817605075,78,2522,0.5124624764587766
Home Cleaning,3.55,20,80,1.266392514191394
Leisure Centers,4.0,1,5,0.0
Funeral Services & Cemeteries,4.153846153846154,3,13,0.8634593969478326
Brazilian,3.9743589743589745,3,234,0.11028622137234137
Videographers,3.0,1,3,0.0
Veterinarians,4.141263940520446,91,538,0.835730809589717
Skydiving,4.5,1,3,0.0
Modern European,4.0,2,176,0.0
Sports Wear,3.922661870503597,25,278,0.6249812377495402
Bagels,3.6037535410764874,59,1412,0.5428195369914255
Used, Vintage & Consignment,3.7409948542024014,58,583,0.6573117232464822
Nutritionists,4.766666666666667,3,15,0.24944382578492943
Convenience Stores,3.739952718676123,83,423,0.806877645252056
Recreation Centers,4.173913043478261,4,46,0.23814024239355047
Champagne Bars,3.5,2,122,0.0
Lighting Fixtures & Equipment,4.170454545454546,10,88,0.8114463925201001
General Litigation,4.4,3,15,0.7348469228349533
Sushi Bars,3.6180141074335324,94,7372,0.4286168315617064
Shopping,3.7821438393839384,1681,14544,0.7398689022465749
Endodontists,4.113636363636363,5,22,0.7823597490026594
Cosmetic Surgeons,2.925,4,20,0.5068283733178323
Internal Medicine,3.7083333333333335,8,36,1.0696248044161196
Cajun/Creole,3.9108187134502925,17,684,0.38533030852419414
Laser Hair Removal,3.6449275362318843,15,69,0.9894422718085962
Oral Surgeons,4.03125,11,48,0.7317661995701451
Airports,3.0493033226152195,7,933,0.25618197402496296
Sporting Goods,3.934010152284264,109,985,0.6167794691804478
Basque,3.2018348623853212,3,109,0.7843634304824467
Gluten-Free,3.6398678414096914,29,1362,0.3927623249682052
Education,3.8663003663003663,80,546,0.8083129525091161
Donuts,3.9009478672985782,68,1055,0.6570067498284139
Aquariums,2.5,1,3,0.0
Hair Salons,4.15688622754491,154,835,0.7768722058238258
Obstetricians & Gynecologists,3.5970873786407767,20,103,1.0613653334294226
Pediatricians,4.128865979381444,22,97,0.8412017376835196
Heating & Air Conditioning/HVAC,4.4051282051282055,29,195,0.7958059027460757
Chocolatiers & Shops,4.232142857142857,11,112,0.4221996577691746
Toy Stores,4.007352941176471,23,272,0.5540137438491056
Karaoke,3.4088669950738915,16,609,0.37401675854948485
Vietnamese,3.8092985318107666,52,3065,0.32727307336417244
Special Education,2.5,1,3,0.0
Shoe Stores,3.6904296875,49,512,0.5866068767655663
Laser Eye Surgery/Lasik,4.681818181818182,2,11,0.24052284646041733
Vinyl Records,3.8421052631578947,4,38,0.46033830748778687
Go Karts,3.0,1,46,0.0
Guest Houses,4.5,1,3,0.0
Wineries,3.8225806451612905,3,93,0.5469620954133281
Active Life,3.9925385508207594,525,6031,0.7102261585464806
Periodontists,3.6666666666666665,3,9,0.23570226039551584
Matchmakers,4.5,1,3,0.0
Urgent Care,3.3412162162162162,25,148,1.031656307611373
Piercing,4.914893617021277,5,94,0.18790980566654994
Leather Goods,3.357142857142857,5,28,1.3748840396371542
Ethiopian,4.027118644067796,4,295,0.16242913289099578
Party & Event Planning,3.9361702127659575,25,188,0.7173163733933952
Golf,3.847826086956522,76,644,0.5725161807387363
Furniture Stores,3.9127105666156203,74,653,0.6012041290134859
Dog Walkers,4.5625,8,32,0.7680128579652817
Laotian,4.5,1,3,0.0
Lawyers,4.3625,9,40,1.140106902882357
DJs,5.0,3,11,0.0
Hair Stylists,4.481481481481482,3,27,0.4996569467863719
Books, Mags, Music & Video,4.014871382636656,102,1244,0.568799491271818
Cosmetic Dentists,4.079787234042553,38,188,0.9559533269157473
Men's Clothing,3.690611664295875,70,703,0.6405656694934917
Women's Clothing,3.8172913117546847,154,1174,0.7472601780775744
Preschools,4.25,12,44,0.8359806435340691
Barbers,4.302350427350428,85,468,0.6252647550860428
Soul Food,4.123383084577115,12,1005,0.3917056686571526
Pharmacy,3.857142857142857,2,7,0.7423074889580903
Opera & Ballet,4.5,1,18,0.0
Lounges,3.686667899408284,94,5408,0.4095993034824876
Hospitals,3.4402985074626864,18,134,0.8574623618200805
Burgers,3.6727924944812362,260,9060,0.4993089429577831
Comedy Clubs,4.142857142857143,4,126,0.2586376307428623
Personal Injury Law,5.0,1,9,0.0
Wine Bars,4.10792469352014,55,4568,0.3432783146867684
Coffee & Tea,4.031598292625089,322,8434,0.4690856922259559
Bars,3.717201272813723,517,27341,0.4969053215202329
Pet Training,3.8217054263565893,26,129,0.895290108480289
Persian/Iranian,3.8865248226950353,4,141,0.2752741658875936
Mongolian,3.567484662576687,12,489,0.45955657060345073
Airlines,2.5104166666666665,12,384,0.7542558648908354
Cosmetology Schools,3.891891891891892,7,37,0.9163318112521451
Department Stores,3.398828887443071,163,1537,0.7158026156096361
Community Service/Non-Profit,3.958823529411765,18,85,0.8513372342997753
Disc Golf,4.7105263157894735,2,19,0.24686398735912787
Pet Groomers,4.214501510574018,47,331,0.6969298073279181
Barre Classes,4.594594594594595,2,37,0.19582941548904645
Fitness & Instruction,3.9615007356547327,204,2039,0.8821503353723756
Security Systems,3.5,1,3,0.0
Eyelash Service,4.785714285714286,11,63,0.34173095462874575
Cards & Stationery,4.252,15,125,0.45441830949027573
Bikes,4.036817102137767,38,421,0.5331734752141065
Property Management,3.1025641025641026,9,39,1.4727415877717311
Interior Design,3.3,9,35,1.1964232409262918
Naturopathic/Holistic,4.315789473684211,8,38,0.5309010789955793
Grocery,3.8456050228310503,335,5256,0.6122883065393683
Web Design,4.615384615384615,6,26,0.9020030307352749
Plumbing,3.9174311926605503,25,109,1.1934718482666442
Yoga,4.363496932515337,47,652,0.4997717684530988
Dentists,4.222560975609756,136,656,0.8988526710928525
Carpet Cleaning,4.176829268292683,19,82,1.0428968543913943
Middle Eastern,4.164102564102564,36,1170,0.43164593326339484
Car Stereo Installation,3.2253521126760565,10,71,1.0574641884335754
Oil Change Stations,3.2808988764044944,37,178,1.0357515215982642
Comfort Food,3.7135416666666665,13,96,0.41923039401251544
Internet Service Providers,2.6666666666666665,22,114,0.8289357652580667
Bridal,3.967479674796748,14,123,1.0451977628219573
Nail Salons,3.6365384615384615,242,1560,0.8129233838486192
Hindu Temples,2.5,1,3,0.0
Appliances & Repair,3.609090909090909,14,55,1.463777520014286
Financial Advising,5.0,5,18,0.0
Dog Parks,3.968045112781955,17,266,0.5602039889567303
Halal,4.16412213740458,5,262,0.2580220424603904
Junk Removal & Hauling,5.0,2,7,0.0
Family Practice,3.9392857142857145,26,140,0.7640770743257541
Candy Stores,4.220136518771331,19,293,0.33074120162866805
Architects,5.0,1,3,0.0
Cardiologists,3.357142857142857,2,7,0.7423074889580903
Tapas Bars,3.9404761904761907,4,84,0.16192226796113623
Mortgage Brokers,2.6296296296296298,8,27,0.8003771401842337
Restaurants,3.746698286661639,4503,160447,0.5026011879578336
Automotive,3.6722636815920398,563,3216,1.0460577974216543
Farmers Market,4.064102564102564,32,468,0.5107329304369767
Keys & Locksmiths,4.2421875,13,64,1.1923984086050057
Estate Planning Law,4.590909090909091,3,11,0.668042657122685
Motorcycle Dealers,3.03125,6,32,1.0528050329951886
Lingerie,3.6121495327102804,17,107,0.6276659449003364
Couriers & Delivery Services,3.1666666666666665,5,18,0.9428090415820634
Venues & Event Spaces,3.729446308724832,73,1192,0.6016590838319615
Stadiums & Arenas,4.001106194690266,25,904,0.2974800019405442
Screen Printing,4.0,1,4,0.0
Hot Air Balloons,4.5,1,4,0.0
Electronics,3.3389830508474576,47,354,0.8316175000439762
Accountants,4.678571428571429,8,28,0.6154888549862174
Pizza,3.832260935040044,457,14609,0.5085150375212962
RV Dealers,4.142857142857143,2,7,0.989743318610787
Churches,4.535714285714286,23,98,0.643848442047141
American (Traditional),3.5767300507444375,480,17933,0.5218912333981951
Shoe Repair,4.398989898989899,16,99,0.5859456570615424
Buffets,3.4775039123630673,117,2556,0.5161539463251947
Pool Cleaners,4.022388059701493,16,67,1.2291024386248481
Fishing,4.0,1,7,0.0
Recording & Rehearsal Studios,4.5,1,3,0.0
Art Galleries,4.170329670329671,36,546,0.42723092695151105
Seafood,3.7261208576998053,88,4104,0.47002235546108073
Dive Bars,3.742312834224599,47,1496,0.36919445262080774
Children's Clothing,3.856164383561644,28,146,0.6997037144724457
Japanese,3.680280046674446,125,5999,0.5205042513750946
Shades & Blinds,4.683333333333334,7,30,0.3531603350069515
Massage Schools,3.5,1,8,0.0
Amateur Sports Teams,3.915151515151515,12,165,0.5411106491457329
Pilates,4.46078431372549,12,102,0.5177547422161135
Computers,3.6008771929824563,24,342,0.7310365484781414
Truck Rental,3.735294117647059,5,17,0.7299808027053445
Seafood Markets,3.966666666666667,4,30,0.40688518719112343
Juice Bars & Smoothies,4.1070811744386875,52,579,0.443453566847275
Tattoo,4.6455696202531644,13,79,0.32947886290684486
Bed & Breakfast,4.305555555555555,4,18,0.8356449420272959
Car Rental,2.9673202614379086,22,153,0.9813176459583373
Scandinavian,4.351282051282051,2,195,0.35581023094772624
Hotels,3.6530231645072635,284,5094,0.6222652683908229
Fashion,3.693973862536302,480,4132,0.7340231058600184
Drugstores,3.34610630407911,125,809,0.8056431337196259
Hair Removal,4.057422969187675,54,357,0.844446065318277
Dermatologists,3.7628205128205128,16,78,0.7709649255979815
Music & DVDs,4.021613832853026,23,347,0.5397402947207589
Steakhouses,3.7849933818663137,100,6044,0.42561298102698353
Dance Schools,4.75,4,20,0.25
Mattresses,3.4166666666666665,8,36,0.9090593428863095
Sewing & Alterations,4.108597285067873,31,221,0.9097104734545994
Chiropractors,4.747126436781609,39,174,0.4787049292634206
Thrift Stores,3.7793594306049823,48,281,0.6718018600279717
Libraries,4.256809338521401,23,257,0.4255944968047136
Boot Camps,4.804347826086956,4,23,0.5051717408096631
Pet Stores,4.113085621970921,74,619,0.6494486371137024
Reflexology,4.5,3,35,0.0
Cafes,3.892233856893543,53,1146,0.48533545848781556
Trainers,3.509433962264151,68,742,0.97953036375073
Screen Printing/T-Shirt Printing,4.0,1,4,0.0
Day Spas,4.050397877984085,91,1508,0.5020975639345654
Street Vendors,4.367924528301887,18,159,0.8288296480574229
Public Relations,5.0,1,5,0.0
Ice Cream & Frozen Yogurt,4.004334038054968,237,4730,0.5442688429517226
Live/Raw Food,4.0,1,18,0.0
Shared Office Spaces,5.0,1,6,0.0
Real Estate,3.0708661417322833,118,508,1.2105579006808649
Self Storage,3.789473684210526,10,38,0.7036706293221546
Hotels & Travel,3.513935191358848,379,7499,0.7009312926081465
Podiatrists,4.421052631578948,5,19,0.5444252859362422
Barbeque,3.6865690482201465,92,3961,0.5982439744010574
Driving Schools,5.0,2,7,0.0
Sports Medicine,3.8,3,10,1.0535653752852738
Fruits & Veggies,4.2146118721461185,12,219,0.293873843099618
Museums,4.275205761316872,28,972,0.37969618953237866
Caribbean,3.730332167832168,17,1144,0.4890027258495677
Medical Spas,3.63265306122449,19,98,1.0511194722483301
Home Services,3.711669921875,409,2048,1.162670327085856
Party Supplies,3.962962962962963,12,54,0.8490291397294555
Handyman,5.0,10,71,0.0
Cosmetics & Beauty Supply,3.778955954323002,88,613,0.7709007589277901
Painters,4.760869565217392,4,23,0.24976359332774037
Adult,3.880952380952381,6,42,0.8077712120803511
Allergists,3.375,5,24,0.739509972887452
Southern,3.857142857142857,18,1288,0.621317902617956
Spanish,3.3813868613138687,6,274,0.5157910549652053
Skate Parks,4.214285714285714,3,14,0.41032590332414487
Tutoring Centers,4.666666666666667,2,9,0.23570226039551584
Fabric Stores,3.637037037037037,19,135,0.7991422012930598
Cheese Shops,4.5233644859813085,6,107,0.10552887654800201
British,4.288494077834179,6,1182,0.41147203807864796
Shopping Centers,3.495301487862177,35,1277,0.5666064949047654
Costumes,4.256880733944954,10,109,0.8768549902059078
Bakeries,3.893504353965639,161,4249,0.48744189874561505
Campgrounds,4.5,1,29,0.0
Specialty Food,4.147524752475247,181,3535,0.42460259865522376
Cuban,3.552896725440806,8,397,0.16561593126728222
Tennis,3.642857142857143,6,28,0.5486532677049006
Mediterranean,3.8946015424164524,85,4668,0.39913251018069096
Counseling & Mental Health,3.1666666666666665,6,21,1.576111348898606
Argentine,4.0,1,7,0.0
Auto Repair,3.8355155482815055,237,1222,1.0913431960322306
Limos,3.5833333333333335,3,18,0.7312470322826768
Indian,3.689655172413793,39,1711,0.3789515331746995
Breakfast & Brunch,3.8416756443192175,190,12067,0.3889766518785244
Religious Organizations,4.49537037037037,26,108,0.7054528699457376
Print Media,3.3815789473684212,8,38,1.0847884254442612
Framing,4.193548387096774,4,31,0.5913000896717213
Outdoor Gear,4.074175824175824,11,182,0.199568578282022
Lakes,4.211538461538462,5,78,0.3254112858076168
Climbing,4.4491525423728815,2,236,0.15112334322141532
Flooring,3.6842105263157894,9,38,1.183333008206164
Carpeting,3.8125,4,16,0.7261843774138906
Bike Rentals,4.023148148148148,16,108,0.7083635917042365
Movers,3.8716216216216215,18,74,1.4143588242934781
Caterers,3.7905824039653035,47,807,0.5704499694285089
Sports Bars,3.3095340811044003,139,4636,0.4490471634076416
Garage Door Services,4.153846153846154,5,26,0.8634593969478326
Hawaiian,3.791754756871036,30,1419,0.3961704727133107
Gardeners,5.0,4,13,0.0
Doctors,3.7028985507246377,149,690,0.9891397249656623
Videos & Video Game Rental,3.844,21,125,0.8611991639568631
Nightlife,3.710366653548472,640,30492,0.5195209747310833
Appliances,3.0543478260869565,19,138,0.9260418781979751
Art Supplies,3.7712418300653594,23,153,0.5571488111154594
Colleges & Universities,3.519867549668874,18,151,0.6430494267460058
Horse Racing,3.608695652173913,2,23,0.6586633655453529
Creperies,4.2668463611859835,10,371,0.3387873182618572
Chinese,3.562746699333061,289,7347,0.46117445711744676
Bookstores,3.9847560975609757,46,492,0.6417640683096778
Hair Extensions,3.75,2,6,1.25
Taxis,3.130434782608696,4,23,0.946588741612054
Pet Boarding/Pet Sitting,4.306390977443609,51,266,0.7578638740881616
Psychics & Astrologers,4.285714285714286,2,7,0.24743582965269675
Mobile Phone Repair,5.0,1,4,0.0
Car Dealers,3.270909090909091,42,275,0.9900730418000349
Jazz & Blues,3.808988764044944,9,89,0.6019892957796708
Tapas/Small Plates,3.860294117647059,2,340,0.22435509268224055
Party Bus Rentals,3.5,1,3,0.0
Car Wash,3.2015845070422535,70,568,0.927540832729043
Television Stations,3.71875,2,16,1.1587810136086973
Mexican,3.618526586790771,630,20198,0.5002102415308927
Pool Halls,3.4702702702702704,12,185,0.504501286991027
Arts & Entertainment,3.865396511196338,304,8083,0.5634383280330455
Arts & Crafts,3.8703703703703702,99,783,0.7573333203420892
Diagnostic Services,2.5,3,12,0.0
Contractors,4.078947368421052,32,152,0.9142606718968531
Roofing,3.4545454545454546,3,11,0.6199173498629934
Rehabilitation Center,4.0,1,4,0.0
Lebanese,4.5,1,29,0.0
Pediatric Dentists,4.178082191780822,19,73,0.9449572832763998
Tex-Mex,3.676651982378855,67,2270,0.4485230559817094
Towing,4.103448275862069,6,29,0.8134569732472723
Maternity Wear,3.5288461538461537,4,52,0.28442691264902
Home & Garden,3.964123006833713,241,1756,0.7311565048111335
Mountain Biking,3.519230769230769,3,26,0.6719771234483134
Local Services,3.905849582172702,317,1795,0.9635671248623119
Adult Education,3.5,3,9,0.816496580927726
